source,target,type,stiffness,distance_m,src_type,tgt_type
22,23,support,1.1,4.86,girder,pier
22,24,support,1.1,15.23,girder,pier
22,25,support,0.9,17.46,girder,ground
26,27,support,1.1,3.81,girder,pier
26,53,support,0.9,18.32,girder,ground
26,28,support,1.1,20.14,girder,pier
30,31,support,1.1,9.76,girder,pier
30,42,girder,0.92,38.08,girder,girder
30,33,support,0.9,39.7,girder,ground
28,32,support,1.1,3.83,girder,pier
32,53,support,0.9,19.39,girder,ground
27,32,support,1.1,20.18,girder,pier
34,35,support,1.1,4.02,girder,pier
34,37,support,0.9,25.53,girder,ground
34,42,girder,0.92,39.33,girder,girder
36,44,girder,0.97,16.36,girder,girder
29,36,support,0.9,27.08,girder,ground
31,36,support,1.1,54.02,girder,pier
38,39,support,1.1,3.4,girder,pier
38,40,support,1.1,14.95,girder,pier
38,41,support,0.9,17.71,girder,ground
33,42,support,0.9,13.73,girder,ground
42,45,girder,0.97,14.58,girder,girder
29,44,support,0.9,29.21,girder,ground
30,44,girder,0.89,53.43,girder,girder
33,45,support,0.9,10.0,girder,ground
31,45,support,1.1,38.74,girder,pier
49,51,girder,0.97,16.27,girder,girder
25,49,support,0.9,70.88,girder,ground
22,49,girder,0.84,78.69,girder,girder
25,51,support,0.9,67.11,girder,ground
24,51,support,1.1,76.26,girder,pier
23,24,pier,1.17,11.93,pier,pier
23,25,support,1.0,13.89,pier,ground
24,25,support,1.0,12.93,pier,ground
27,53,support,1.0,15.14,pier,ground
27,28,pier,1.16,17.58,pier,pier
28,53,support,1.0,16.23,pier,ground
31,33,support,1.0,38.62,pier,ground
35,37,support,1.0,23.96,pier,ground
35,42,support,1.1,39.86,pier,girder
39,40,pier,1.17,12.06,pier,pier
39,41,support,1.0,15.5,pier,ground
40,41,support,1.0,16.43,pier,ground
28,29,support,1.0,42.16,ground,pier
37,40,support,1.0,34.65,ground,pier
